"id","text","Requirements","Manual Scenario","domain","llm_output","response_id","status","cumulative_cost_usd"
"109","As an Internal User, I want to have MCP(development use only) settings to enable/disable features per Epic for Drag & Drop Page MVP ","1. Add a MCP setting “Drag & Drop Pages: Widgets combining Block“ under Development Use only for Epic
2. Add a MCP setting “Drag & Drop Pages: Image Resizing“ under Development Use only
3. Add a MCP setting “Drag & Drop Pages: Page Templates“ under Development Use only
4. Add a MCP setting “Drag & Drop Pages - Page Category (development use only)“ under Development Use only section under Platform Settings
","Scenario: Internal User configures MCP settings for Drag & Drop Page features  
    Given the user is in the Development Use section of MCP settings  
    When the user views the Platform Settings  
    Then the following MCP settings should be available under ""Development Use only"" for the Drag & Drop Page MVP:  
      | Setting Name                                       | Description                                  |  
      | ""Drag & Drop Pages: Widgets combining Block""       | Enables/Disables widgets combining block feature |  
      | ""Drag & Drop Pages: Image Resizing""                 | Enables/Disables image resizing feature         |  
      | ""Drag & Drop Pages: Page Templates""                 | Enables/Disables page templates feature         |  
      | ""Drag & Drop Pages - Page Category""                 | Enables/Disables page category feature          |  

    When the user enables or disables any of the above settings  
    Then the relevant features should be activated or deactivated based on the settings chosen  
","Digital Asset Management","Scenario: Enabling and Disabling Features via MCP Settings for Drag & Drop Page MVP  
Given an internal user has access to the MCP settings panel  
When the user navigates to the settings for a specific Epic and toggles a feature to enable or disable  
Then the selected feature should be updated immediately according to the toggle state  
And the change should be reflected in the system configuration for that Epic  
And the updated feature state should persist until changed again by the user.","chatcmpl-E44kJBssXF3A4M1AqEYKiK2ERjdJf","success",0.16592750000000003
"5","As a user, I want to be able to upload a Lottie File and have it automatically converted into a MP4 file so that I can view it in the previewer.","1. Lottie Files uploaded to the platform should be converted to MP4s so that they can be viewed in the previewer. 
2. We need to convert uploaded Lottie to MP4s, which can then be viewed in the previewer.
3. When a user uploads a Lottie File, the Lottie should be converted into an MP4 using the library recommended: https://intelligencebank.atlassian.net/browse/IB-36794 
4. The conversion should be done with the highest quality available, to ensure that the resulting MP4s have the same quality as the original Lottie Files.
5. The MP4 needs to be stored along side the original Lottie as we will use the MP4 in other places like Approvals","Scenario: Verify the preview of the uploaded Lottie file
  Given I am an admin 
  When I upload Lottie file
  And I preview the Lottie file
  Then I am able to see it as a MP4
  And I can see the same quality is there for MP4 like the original file","Digital Asset Management","Scenario: Uploading and Converting a Lottie File to MP4 for Preview  
Given the user is on the file upload page with access to the Lottie file upload feature  
When the user uploads a valid Lottie file  
Then the system should automatically convert the Lottie file into an MP4 file  
And the MP4 file should be displayed in the previewer for the user to view  
And the converted MP4 file should be saved for future access.","chatcmpl-E44kKR7GaphUvkZKpWLH8xqhrxjBy","success",0.16592750000000003
"50","As a user, I want all options to be included in V3 importer","We need to integrate Asset Intelligence settings into the backend V3 importer, including Image Tagging, Video Tagging as well as Closed Captions, and do the groundwork for future Facial Recognition. This enhancement will ensure that imported assets have the option to include Asset Intelligence features when importing.","Scenario: Configure Asset Intelligence settings during import
  Given I am configuring a V3 import
  And I have assets ready for import
  
  When I access the import settings
  Then I should see Asset Intelligence options:
    | Feature            | Status    |
    | Image Tagging     | Available |
    | Video Tagging     | Available |
    | Closed Captions   | Available |
    | Facial Recognition| Prepared  |
  
  When I enable ""Image Tagging"" and ""Video Tagging""
  And I start the import process
  Then the system should:
    | Action                     | Status                |
    | Process image tags         | For imported images   |
    | Process video tags         | For imported videos   |
    | Generate closed captions   | For video content     |
    | Prepare facial recognition | Infrastructure ready  |
  
  When the import completes
  Then imported assets should have:
    | Feature            | Result                    |
    | Image Tags         | Generated if enabled      |
    | Video Tags         | Generated if enabled      |
    | Closed Captions    | Generated if enabled      |
    | Facial Recognition | Ready for future use      |","Digital Asset Management","Scenario: Importing Data with All Options Included in V3 Importer  
Given a user has access to the V3 importer tool  
And the user has a valid data file prepared for import  
When the user uploads the data file into the V3 importer  
Then all available import options should be displayed to the user  
And the user should be able to select or configure each option before proceeding  
And the data should be successfully imported with the selected options applied  
And a confirmation message should be displayed indicating the import was completed successfully.","chatcmpl-E44kLfVHv5Qqc4OiTaiUjnQll6HYT","success",0.16592750000000003
"87","As a User, I want to remove stickers option from left menu","1. Hide Stickers option from left menu ","Scenario: Hiding the Stickers Option from the Left Menu
Given the user is in the Img.ly editor
When the editor loads
Then the Stickers option is not visible in the left menu","Digital Asset Management","Scenario: Removing Stickers Option from the Left Menu  
Given a user is logged into the application and is on the main interface  
When the user selects the ""Customize Menu"" option from the settings  
And the user deselects the ""Stickers"" option from the left menu customization list  
Then the ""Stickers"" option should no longer appear in the left menu  
And the updated menu configuration should be saved and persist across sessions until changed again by the user","chatcmpl-E44kNrMGXo60CGC08GxrcsmqX2rHQ","success",0.16592750000000003
"11","As a user, I want to be able to preview the GIF or Lottie File converted MP4 on the Review Request screen in Approvals so that I can preview what the animation is when approving","1. Users should see the preview of the GIF or Lottie File converted MP4 on the Review Request Tab of the Approvals Screen. This should help users to preview the animation while approving
2. As a user on the Review Request Tab
3. The preview should show the GIF or Lottie File converted MP4.
4. Approvals uses PDFTron
5. The controls should be hidden
6. The MP4 should autoplay","Scenario: Verify the GIF and Lottie file preview on the edit screen
  Given I am an admin 
  When I upload Lottie and GIF file
  And I click on edit/new version 
  Then The file should have converted to MP4
  And The controls should be hidden
  And The MP4 should autoplay","Digital Asset Management","Scenario: Previewing Converted MP4 Animation on Review Request Screen  
Given a user is on the Review Request screen in Approvals  
And the request contains a GIF or Lottie File converted to an MP4  
When the user clicks on the preview button for the animation  
Then the MP4 animation should play in a preview window  
And the animation should display without any errors or distortions  
And the user should be able to close the preview window and return to the Review Request screen","chatcmpl-E44kOnlAqYnB1lz5WfvofB8Kybhgs","success",0.16592750000000003
"55","As a User, I want to report on Resource downloaded (Original) separately than added in Smart Page for Resource Module (Usage)","1. Be able to track Resource Usage Reporting- Resource download action that happens in Smart Pages for previously uploaded Resource (Original size type of Resource, aka “Best“ quality) via Resource Lookup
","Scenario: Tracking Resource Download Actions in Smart Pages via Resource Lookup
Given the user has access to the reporting module
And a resource has been previously uploaded
When the user downloads the resource in its original size (""Best"" quality) via Resource Lookup in a Smart Page
Then the system should log the resource download action in the Resource Usage Report

And the report should include:

The Smart Page where the download occurred
The specific resource name retrieved via Resource Lookup
The action type as ""Resource Download (Original)""
The timestamp of the download","Digital Asset Management","Scenario: Reporting on Original Resource Downloads and Smart Page Additions Separately  
Given a user has access to the Resource Module reporting feature  
When the user generates a report for resource usage  
Then the report should display the count of original resource downloads separately from the count of resources added to Smart Pages  
And the data should be clearly labeled to distinguish between ""Original Downloads"" and ""Smart Page Additions""  
And the report should accurately reflect the usage data based on the selected time frame and filters.","chatcmpl-E44kPbcppdkpxzRRCi3A0zNvAJqNq","success",0.16592750000000003
"89","As a User, I want Master Templates overlay, Fetch and return Master Templates via API ","1. When user is on the *Master Template* selection overlay, relevant results will display for user to select from
2. This will be done via API 
3. Permissions will also factor into what can be seen by a user - that will be handled here","Scenario: Displaying Relevant Master Templates Based on API and Permissions
Given the user is on the Master Template selection overlay
When the overlay loads
Then relevant master template results are retrieved via an API call
And only templates the user has permission to view are displayed
And the user can select from the available templates","Digital Asset Management","Scenario: Fetching and Displaying Master Templates via API  
Given the user is logged into the application and navigates to the Master Templates section  
When the user initiates a request to fetch Master Templates via the API  
Then the system should display an overlay showing a loading indicator  
And the API should return a list of available Master Templates  
And the overlay should update to display the fetched Master Templates in a structured and user-friendly format  
And the user should be able to interact with the displayed templates.","chatcmpl-E44kRGvWDuFmcEvivkmSam3mt2ASi","success",0.16592750000000003
"79","As a User, I want MCP Setting for Single User Record Editor Restriction","1. New development setting added to “*Development Use Only”* section of MCP:
2. Setting name: *Databases - Single User Record Edit Restriction*
3. Location: Can be added to bottom of the list","Scenario: Adding a New Development Setting for Single User Record Edit Restriction
Given the user has access to the MCP (Master Control Panel)
When the user navigates to the ""Development Use Only"" section
Then a new setting named ""Databases - Single User Record Edit Restriction"" is available
And it is located at the bottom of the list","Digital Asset Management","Scenario: Restricting Single User Record Editing via MCP Setting  
Given a user has access to the MCP settings page  
And the ""Single User Record Editor Restriction"" setting is enabled  
When the user attempts to edit a record assigned to another user  
Then the system should display a notification stating that editing is restricted  
And the user should be prevented from making any changes to the record  
And the record should remain in its original state without any modifications.","chatcmpl-E44kSvyMZ8ZLJu99j9GU4SJTj0VE9","success",0.16592750000000003
"57","As a User, I want to see Block ""ratio"" simply changed to ""width""","1. Be able to see the current Block’s “Ratio“ configurations on Side Panel *changed to “Width“ as the title* as per design 
2. Be able to see the description label “BLOCK RATIO“ in between the “Width“ title and the slider as per design ","Scenario: Displaying Updated ""Width"" Configuration in the Side Panel
Given the user has selected a block in the Simple Page Builder
When the user views the Side Panel
Then the block’s “Ratio” configuration title should be updated to “Width” as per the design

And a description label “BLOCK RATIO” should be displayed between the “Width” title and the slider, following the design specifications","Digital Asset Management","Scenario: Updating Block Label from ""Ratio"" to ""Width""  
Given a user is viewing a block configuration panel  
When the user navigates to the section where the ""ratio"" label is displayed  
Then the label should now be displayed as ""width"" instead of ""ratio""  
And the functionality associated with the label should remain unchanged.","chatcmpl-E44kUTYknTrKdMoW12aMk75b8aJH4","success",0.16592750000000003
"12","As a user, I want to be able to preview the GIF or Lottie File converted MP4 on the Versions/Revisions Screen so that I can preview what the animation is before adding a version/revision","1. Users should see the preview of the GIF or Lottie File converted MP4 on the Version OR Revision Tab of the Approvals Screen. This should help users to preview the animation while approving
2. As a user on the Version or Revision Tab
3. The preview should show the GIF or Lottie File converted MP4.
4. Approvals uses PDFTron
5. The controls should be hidden
6. The MP4 should autoplay","Scenario: Verify the GIF and Lottie file preview on the Markup Screen in Approvals
  Given I am an admin 
  When I upload Lottie and the GIF file
  And navigate to the Markup Screen in Approvals
  Then The file should have converted to MP4
  And The controls should be hidden
  And The MP4 should autoplay","Digital Asset Management","Scenario: Previewing Converted MP4 Animation on Versions/Revisions Screen  
Given the user is on the Versions/Revisions Screen  
And the screen displays a list of available versions/revisions with associated animations  
When the user clicks on the preview button for a GIF or Lottie File converted MP4  
Then the MP4 animation should play in a preview window or section on the screen  
And the animation should play smoothly without any errors or delays  
And the user should be able to close the preview and return to the Versions/Revisions Screen without losing their place in the list","chatcmpl-E44kVdyVCW0pxNuprnVPmAxV7EgoL","success",0.16592750000000003
